pce,pop,psavert,uempmed,unemploy
507.4,198712,12.5,4.5,2944
510.5,198911,12.5,4.7,2945
516.3,199113,11.7,4.6,2958
512.9,199311,12.5,4.9,3143
518.1,199498,12.5,4.7,3066
525.8,199657,12.1,4.8,3018
531.5,199808,11.7,5.1,2878
534.2,199920,12.2,4.5,3001
544.9,200056,11.6,4.1,2877
544.6,200208,12.2,4.6,2709
550.4,200361,12,4.4,2740
556.8,200536,11.6,4.4,2938
563.8,200706,10.6,4.5,2883
567.6,200898,10.4,4.2,2768
568.8,201095,10.4,4.6,2686
572.3,201290,10.6,4.8,2689
577.4,201466,10.4,4.4,2715
577.2,201621,10.9,4.4,2685
584.2,201760,10,4.4,2718
589.5,201881,9.4,4.9,2692
589.7,202023,9.9,4,2712
594.7,202161,9.5,4,2758
601.1,202331,10,4.2,2713
601.7,202507,10.9,4.4,2816
603.5,202677,11.7,4.4,2868
610.8,202877,11.5,4.4,2856
614.1,203090,11.5,4.7,3040
619.4,203302,11.3,4.5,3049
621.4,203500,11.5,4.8,2856
623.7,203675,11.7,4.6,2884
629.6,203849,11.7,4.6,3201
634.9,204008,11.6,4.5,3453
633.2,204156,12.3,4.6,3635
637,204401,13.3,4.1,3797
643.4,204607,12.3,4.7,3919
647.2,204830,11.7,4.9,4071
649.5,205052,13.2,5.1,4175
653.9,205295,13.1,5.4,4256
660.1,205540,12.9,5.2,4456
659.3,205788,13,5.2,4591
657.6,206024,13.3,5.6,4898
666.6,206238,12.9,5.9,5076
677.2,206466,13.1,6.2,4986
680.4,206668,13.1,6.3,4903
683,206855,13.3,6.4,4987
689.8,207065,13,6.5,4959
692.2,207260,13.4,6.7,4996
700.8,207462,14.4,5.7,4949
699.9,207661,13.6,6.2,5035
706,207881,13.6,6.4,5134
714.1,208114,12.9,5.8,5042
716.9,208345,13,6.5,4954
722.1,208555,12.8,6.4,5161
729.6,208740,12.9,6.2,5154
732.6,208917,12.4,6.2,5019
737.3,209061,12.6,6.6,4928
750.4,209212,11.5,6.6,5038
753.8,209386,11.3,6.7,4959
759.2,209545,11.5,6.6,4922
